,Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
159,3.0,2.0,3.0,más de 30 años,2,No definida,"$ 2.275.641,03*m²",,Excelente,, 355000000,156 ,156 
160,,,5.0,,,No definida,"$ 6.153.846,15*m²",,,, 800000000,130 ,0 
161,,,,,,,,,,, 295210000,,
162,2.0,2.0,4.0,,3,No definida,"$ 5.049.682,36*m²",1.0,Excelente,, 310000000,"61,39 ",0 
163,1.0,1.0,4.0,9 a 15 años,11,$ 178.300 COP,"$ 4.354.838,71*m²",,,, 135000000,31 ,0 
164,,,4.0,,,,,,Sobre planos,, 200000000,,
165,2.0,3.0,6.0,más de 30 años,4,$ 596.300 COP,"$ 4.361.344,54*m²",1.0,Excelente,PentHouse, 519000000,119 ,119 
166,3.0,1.0,2.0,,4,No definida,"$ 2.888.888,89*m²",,,, 130000000,45 ,45 
167,2.0,2.0,5.0,9 a 15 años,3,$ 300.000 COP,"$ 5.282.051,28*m²",1.0,,, 412000000,78 ,78 
168,2.0,2.0,6.0,1 a 8 años,Otro,$ 360.000 COP,"$ 6.944.444,44*m²",2.0,Excelente,, 625000000,90 ,0 
169,4.0,4.0,6.0,16 a 30 años,,$ 725.000 COP,"$ 3.830.645,16*m²",2.0,,, 950000000,248 ,248 
170,4.0,3.0,6.0,16 a 30 años,4,$ 450.000 COP,"$ 4.370.370,37*m²",2.0,,, 590000000,135 ,135 
171,3.0,2.0,5.0,1 a 8 años,2,$ 495.000 COP,"$ 4.271.844,66*m²",1.0,,, 440000000,103 ,0 
172,,,,,,,,,,, 240000000,,
173,1.0,2.0,4.0,1 a 8 años,3,No definida,"$ 4.032.258,06*m²",,,, 250000000,62 ,62 
174,1.0,2.0,6.0,9 a 15 años,,No definida,"$ 6.428.571,43*m²",2.0,,, 675000000,105 ,0 
175,,,,,,,,,,, 647307563,,
176,1.0,1.0,5.0,,3,$ 167.000 COP,$ 4.700.000*m²,2.0,,, 235000000,50 ,0 
177,1.0,1.0,4.0,,,No definida,$ 6.187.500*m²,1.0,Excelente,, 198000000,32 ,0 
178,,,,,,,,,,, 561960000,,
179,3.0,3.0,6.0,16 a 30 años,4,$ 750.000 COP,"$ 4.131.736,53*m²",2.0,Bueno,, 690000000,167 ,0 
180,,,,,,,,,,, 631862400,,
181,,,4.0,,,,,,Sobre planos,, 297126000,,
182,3.0,2.0,6.0,16 a 30 años,Otro,$ 620.000 COP,"$ 4.881.889,76*m²",2.0,Excelente,, 620000000,127 ,127 
183,2.0,1.0,3.0,9 a 15 años,2,No definida,"$ 3.729.729,73*m²",,Bueno,, 138000000,37 ,37 
184,,,,,,,,,,, 390000000,,
185,3.0,3.0,5.0,9 a 15 años,2,$ 456.600 COP,"$ 4.193.548,39*m²",1.0,Excelente,, 650000000,155 ,155 
186,,,,,,,,,,, 347300000,,
187,2.0,2.0,6.0,1 a 8 años,Otro,No definida,"$ 4.857.142,86*m²",1.0,,, 340000000,70 ,0 
188,3.0,2.0,4.0,1 a 8 años,1,$ 172.000 COP,$ 4.000.000*m²,,,, 220000000,55 ,55 
189,,,,,,,,,,, 1417743028,,
190,,,,,,,,,,, 539000000,,
191,3.0,1.0,3.0,16 a 30 años,2,No definida,"$ 3.142.857,14*m²",,Bueno,, 220000000,70 ,70 
192,,,,,,,,,,, 156520000,,
193,3.0,3.0,6.0,16 a 30 años,,$ 592.800 COP,"$ 4.017.094,02*m²",2.0,,, 470000000,117 ,0 
194,,,,,,,,,,, 400000000,,
195,,,6.0,,,,,,Sobre planos,, 553675000,,
196,3.0,2.0,3.0,1 a 8 años,2,No definida,"$ 1.942.446,04*m²",,Excelente,, 270000000,139 ,0 
197,2.0,3.0,6.0,1 a 8 años,,$ 573.265 COP,"$ 8.464.423,08*m²",2.0,,, 880300000,104 ,0 
198,,,4.0,,,,,,En construcción,, 488100000,,
199,2.0,2.0,4.0,1 a 8 años,12,No definida,"$ 3.636.363,64*m²",,Bueno,, 480000000,132 ,132 
200,3.0,3.0,5.0,,,No definida,"$ 6.857.142,86*m²",1.0,Excelente,, 720000000,105 ,0 
201,,,,,,,,,,, 543532000,,
202,3.0,2.0,5.0,,7,$ 158.000 COP,"$ 5.693.877,55*m²",1.0,,, 558000000,98 ,98 
203,3.0,5.0,5.0,,4,$ 690.000 COP,"$ 7.425.742.574,26*m²",1.0,,, 1500000000000,202 ,0 
204,,,,,,,,,,, 295210000,,
205,,,,,,,,,,, 795000000,,
206,3.0,2.0,4.0,,10,$ 292.000 COP,"$ 4.098.360,66*m²",1.0,,, 250000000,61 ,0 
207,,,4.0,,,,,,Sobre planos,, 200000000,,
208,3.0,2.0,4.0,9 a 15 años,5,No definida,"$ 4.264.705,88*m²",1.0,Excelente,Loft, 290000000,68 ,0 
209,,,,,,,,,,, 1500000000,,
210,3.0,3.0,6.0,9 a 15 años,2,$ 860.000 COP,"$ 4.320.987,65*m²",2.0,,, 700000000,162 ,162 
211,2.0,1.0,3.0,1 a 8 años,7,$ 70.000 COP,"$ 3.432.432,43*m²",,Excelente,, 127000000,37 ,0 
212,,,,,,,,,,, 320000000,,
213,4.0,4.0,6.0,16 a 30 años,7,$ 450.000 COP,"$ 6.282.051,28*m²",2.0,Excelente,, 735000000,117 ,117 
214,,,,,,,,,,, 430000000,,
215,,,,,,,,,,, 240000000,,
216,1.0,2.0,4.0,1 a 8 años,3,No definida,"$ 4.032.258,06*m²",,,, 250000000,62 ,62 
217,1.0,2.0,6.0,9 a 15 años,,No definida,"$ 6.428.571,43*m²",2.0,,, 675000000,105 ,0 
218,,,,,,,,,,, 647307563,,
219,1.0,1.0,5.0,,3,$ 167.000 COP,$ 4.700.000*m²,2.0,,, 235000000,50 ,0 
220,1.0,1.0,4.0,,,No definida,$ 6.187.500*m²,1.0,Excelente,, 198000000,32 ,0 
221,,,,,,,,,,, 561960000,,
222,2.0,1.0,3.0,9 a 15 años,5,$ 74.000 COP,"$ 2.717.948,72*m²",,Excelente,, 106000000,39 ,0 
223,,,,,,,,,,, 631862400,,
224,,,4.0,,,,,,Sobre planos,, 297126000,,
225,2.0,2.0,5.0,9 a 15 años,Otro,$ 342.200 COP,"$ 5.949.367,09*m²",1.0,,, 470000000,79 ,0 
226,2.0,2.0,3.0,9 a 15 años,9,$ 178.800 COP,"$ 4.328.152,67*m²",,Excelente,, 220000000,"50,83 ",51 
227,3.0,3.0,5.0,menor a 1 año,8,$ 320.000 COP,"$ 5.691.056,91*m²",1.0,Excelente,, 700000000,123 ,123 
228,3.0,2.0,4.0,1 a 8 años,1,$ 261.000 COP,"$ 4.268.292,68*m²",1.0,Bueno,, 350000000,82 ,82 
229,,,,,,,,,,, 347300000,,
230,2.0,2.0,6.0,1 a 8 años,Otro,No definida,"$ 4.857.142,86*m²",1.0,,, 340000000,70 ,0 
231,3.0,3.0,6.0,16 a 30 años,,$ 592.800 COP,"$ 4.017.094,02*m²",2.0,,, 470000000,117 ,0 
232,,,,,,,,,,, 1417743028,,
233,20.0,2.0,4.0,16 a 30 años,5,$ 228.200 COP,"$ 3.582.089,55*m²",1.0,Bueno,, 240000000,67 ,67 
234,3.0,3.0,5.0,,,$ 576.000 COP,"$ 4.918.032,79*m²",,,, 600000000,122 ,0 
235,,,,,,,,,,, 156520000,,
236,3.0,2.0,4.0,1 a 8 años,Otro,$ 183.000 COP,"$ 3.432.835,82*m²",1.0,Excelente,, 230000000,67 ,67 
237,2.0,1.0,4.0,9 a 15 años,,$ 150.000 COP,"$ 4.711.538,46*m²",,Bueno,, 245000000,52 ,52 
238,,,6.0,,,,,,Sobre planos,, 553675000,,
239,4.0,3.0,5.0,más de 30 años,2,No definida,"$ 3.636.363,64*m²",,,, 360000000,99 ,0 
240,2.0,3.0,5.0,,10,$ 330.000 COP,"$ 7.411.764,71*m²",1.0,Bueno,, 630000000,85 ,85 
241,,,4.0,,,,,,En construcción,, 488100000,,
242,2.0,1.0,4.0,16 a 30 años,4,$ 178.600 COP,$ 5.100.000*m²,,Excelente,, 255000000,50 ,50 
243,1.0,1.0,6.0,9 a 15 años,5,$ 442.400 COP,$ 7.500.000*m²,,,, 300000000,40 ,0 
244,,,,,,,,,,, 543532000,,
245,,,,,,,,,,, 516000000,,
246,3.0,4.0,6.0,1 a 8 años,9,$ 820.000 COP,"$ 5.447.761,19*m²",2.0,Excelente,, 730000000,134 ,0 
247,,,,,,,,,,, 295210000,,
248,1.0,1.0,4.0,,3,No definida,$ 6.343.750*m²,1.0,Excelente,, 203000000,32 ,0 
249,3.0,2.0,5.0,1 a 8 años,Otro,$ 400.000 COP,"$ 4.901.960,78*m²",1.0,Excelente,, 500000000,102 ,102 
250,,,4.0,,,,,,Sobre planos,, 200000000,,
251,4.0,5.0,6.0,9 a 15 años,3,$ 750.000 COP,"$ 5.733.333,33*m²",2.0,,, 860000000,150 ,150 
252,3.0,3.0,5.0,9 a 15 años,3,$ 500.000 COP,"$ 4.910.714,29*m²",1.0,Bueno,, 550000000,112 ,112 
253,3.0,3.0,4.0,más de 30 años,7,$ 590.000 COP,"$ 2.261.306,53*m²",2.0,Excelente,, 450000000,199 ,0 
254,2.0,2.0,4.0,,,$ 160.000 COP,"$ 5.673.076,92*m²",,,, 295000000,52 ,52 
255,,,,,,,,,,, 162000000,,
256,3.0,2.0,5.0,1 a 8 años,5,$ 100.000 COP,"$ 4.941.176,47*m²",1.0,Excelente,, 420000000,85 ,0 
257,5.0,6.0,6.0,16 a 30 años,16,$ 2.300.000 COP,$ 4.784.689*m²,5.0,Bueno,, 3000000000,627 ,627 
258,,,,,,,,,,, 240000000,,
259,3.0,2.0,4.0,,,No definida,"$ 3.454.545,45*m²",,,, 380000000,110 ,0 
260,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,, 265000000,54 ,0 
261,,,4.0,,,,,,Sobre planos,, 297126000,,
262,3.0,2.0,5.0,más de 30 años,2,No definida,"$ 4.393.939,39*m²",1.0,,, 580000000,132 ,132 
263,3.0,1.0,3.0,1 a 8 años,Otro,$ 126.018 COP,"$ 3.829.787,23*m²",,Excelente,, 180000000,47 ,42 
264,,,,,,,,,,, 647307563,,
265,3.0,2.0,5.0,9 a 15 años,4,$ 120.000 COP,"$ 4.266.666,67*m²",1.0,Bueno,, 320000000,75 ,0 
266,,,,,,,,,,, 631862400,,
267,,,,,,,,,,, 347300000,,
268,3.0,2.0,4.0,1 a 8 años,1,$ 229.000 COP,"$ 4.682.539,68*m²",1.0,Bueno,, 295000000,63 ,63 
269,3.0,2.0,4.0,1 a 8 años,6,$ 285.173 COP,"$ 4.642.857,14*m²",1.0,Excelente,, 487500000,105 ,98 
